"id","checksum","price","location","title","beds","baths","area","property_type","furnishing","amenities","link","reactivated_date","source","scraped_at","transformed_at"
1222,"8bc81d0a79dc22bd927db9ee5b308fcf",10980000,"Hyde Park New Cairo Compound, 5th Settlement","","3",3,192,"Apartment","","Balcony, Private Garden, Electricity Meter","https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-hyde-park-new-cairo-fully-finished-with-kitchen-acs-prime-opportunity-ID503484807.html","2026-05-09 11:08:16.18","dubizzle","2026-05-09 11:08:16.18","2026-05-09 20:33:34.395124"
1223,"9eeee4ae61f48d65bf648f7b6ac37ef9",7000000,"Obour City, Cairo","","5",3,300,"Duplex","Unfurnished","Balcony, Security, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/duplex-for-sale-in-obour-city-fourth-district-near-mall-and-services-300-sqm-150-sqm-garden-basement-parking-great-family-home-ID503483758.html","2026-05-09 11:08:16.397","dubizzle","2026-05-09 11:08:16.397","2026-05-09 20:33:34.765337"
1224,"c335dc02a762ede1dc02cd703193cc77",150000,"Sarayat El Maadi, Maadi","","2",2,200,"Apartment","Furnished","Balcony, Central A/C & heating, Security, Pool, Electricity Meter, Water Meter, Natural Gas, Landline","https://www.dubizzle.com.eg/en/ad/luxury-villa-for-rent-in-sarayat-el-maadi-with-private-garden-2-bedrooms-swimming-pool-and-jacuzzi-ID503304821.html","2026-05-09 11:08:16.615","dubizzle","2026-05-09 11:08:16.615","2026-05-09 20:33:35.175706"
1225,"2e063a3db8318dc25a6c1ba2c2ab1682",25503000,"D-Bay, North Coast","","5",7,280,"Stand Alone Villa","","Balcony, Private Garden, Covered Parking, Maids Room, Pets Allowed, Electricity Meter, Water Meter, Natural Gas","https://www.dubizzle.com.eg/en/ad/standalone-villa-for-sale-at-a-great-price-and-location-with-a-panoramic-sea-view-fully-finished-resale-in-d-bay-north-coast-ID503128757.html","2026-05-09 11:08:16.834","dubizzle","2026-05-09 11:08:16.834","2026-05-09 20:33:35.645014"
1226,"fe5d0c66bfe6c4074bac401e6d214c94",2000,"Golden Beach Ras Sedr, Ras Sedr","","2",1,120,"Chalet","","Balcony, Built in Kitchen Appliances, Private Garden, Security, Pool, Water Meter","https://www.dubizzle.com.eg/en/ad/chalet-for-rent-in-ras-sudr-golden-beach-1-village-ID503479906.html","2026-05-09 11:08:17.058","dubizzle","2026-05-09 11:08:17.058","2026-05-09 20:33:36.004874"
1229,"2793af7c8a0208982133e66f33601c73",240000,"One Katameya, Katameya","","","",280,"Office Space","Furnished","Air Conditioning, Storage","https://www.dubizzle.com.eg/en/ad/office-headquarters-for-companies-250-sqm-furnished-air-conditioned-in-one-katameya-the-most-prestigious-administrative-buildings-directly-on-the-maadi-ring-road-ID502883172.html","2026-05-09 11:08:17.708","dubizzle","2026-05-09 11:08:17.708","2026-05-09 20:33:37.14565"
1230,"8b253785298788d232c782a3990fd878",5200000,"Telal Sokhna, Ain Sukhna","","1",1,56,"Studio","","Balcony, Private Garden, Security, Covered Parking, Pets Allowed, Pool, Electricity Meter, Water Meter, Natural Gas, Landline, Elevator","https://www.dubizzle.com.eg/en/ad/studio-for-sale-finished-with-air-conditioning-sea-view-installment-over-10-years-in-tlal-al-ain-sokhna-ID503341288.html","2026-05-09 11:08:18.402","dubizzle","2026-05-09 11:08:18.402","2026-05-09 20:33:37.515591"
1231,"c0a74b6e998dacd76384c094664ee853",25000,"Al Mostathmir El Saghir, Sheikh Zayed","","3",1,170,"Apartment","Furnished","Built in Kitchen Appliances, Security, Electricity Meter","https://www.dubizzle.com.eg/en/ad/for-the-quick-rental-of-a-furnished-apartment-in-the-small-investor-area-8th-district-sheikh-zayed-newly-finished-fully-furnished-and-air-conditioned-with-a-distinctive-view-third-floor-with-elevator-for-families-only-ID503485847.html","2026-05-09 11:08:18.618","dubizzle","2026-05-09 11:08:18.618","2026-05-09 20:33:37.87616"
1232,"523872637047eb9abbd9e4806d93bf86",2350000,"Al Hadaba Al Wosta, Mokattam","","3",1,145,"Apartment","Unfurnished","","https://www.dubizzle.com.eg/en/ad/apartment-for-sale-145m-elevated-ground-immediate-delivery-in-the-first-neighborhood-central-plateau-mokattam-ID503230083.html","2026-05-09 13:55:42.829","dubizzle","2026-05-09 13:55:42.829","2026-05-09 20:33:38.245531"
1233,"7fea4571855121f65687997d77418a67",5625000,"North Rehab, 1st Settlement","","3",3,155,"Apartment","Unfurnished","Balcony, Private Garden, Security, Covered Parking, Pets Allowed, Electricity Meter, Water Meter, Elevator","https://www.dubizzle.com.eg/en/ad/for-sale-155-sqm-apartment-garden-your-apartment-in-the-best-location-in-new-cairo-in-front-of-rehab-city-and-the-eastern-market-of-rehab-ID502975617.html","2026-05-09 13:55:43.473","dubizzle","2026-05-09 13:55:43.473","2026-05-09 20:33:38.626502"
